epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1224.54,0.70338,2.85547,0.19862,0.65058,0.98296,0.84872,0.53466,0.65934,0.50164,0.54789,0.29492,0.28141,0.16242,1.05228,5.06767,0.31236,1.60719,1.26209,0.008713,0.008713,0.008713
28,1269.93,0.68752,2.84527,0.20086,0.63213,0.97967,0.82182,0.53613,0.64961,0.50127,0.53326,0.28479,0.26642,0.15953,0.97541,5.13942,0.32573,1.62183,1.19146,0.0086635,0.0086635,0.0086635
29,1318.38,0.69003,2.79401,0.1921,0.62767,0.97789,0.81699,0.55395,0.67107,0.51769,0.53638,0.317,0.29094,0.16715,0.97154,4.99537,0.32312,1.6015,1.1617,0.008614,0.008614,0.008614
30,1364.93,0.68264,2.78577,0.19877,0.62718,0.97528,0.84894,0.5392,0.64247,0.50082,0.57182,0.30395,0.29923,0.17438,0.98058,5.12186,0.30424,1.72093,1.1843,0.0085645,0.0085645,0.0085645
31,1410.52,0.67976,2.79132,0.19403,0.62295,0.97279,0.8455,0.52501,0.61059,0.46834,0.55617,0.29318,0.28327,0.16627,1.04183,5.14741,0.25066,1.73956,1.21907,0.008515,0.008515,0.008515
32,1456.68,0.67348,2.74583,0.19515,0.6105,0.96957,0.84819,0.54401,0.65249,0.50008,0.54157,0.31837,0.29905,0.17543,0.98398,4.99617,0.26676,1.75068,1.18124,0.0084655,0.0084655,0.0084655
33,1501.96,0.66742,2.74451,0.18561,0.60387,0.96814,0.80301,0.51365,0.66012,0.50612,0.5344,0.30833,0.29432,0.17091,1.00284,4.90605,0.26199,1.57476,1.2209,0.008416,0.008416,0.008416
34,1546.98,0.67472,2.72917,0.19428,0.61414,0.96599,0.79321,0.55092,0.65507,0.49771,0.49983,0.31056,0.27916,0.16869,1.03487,5.073,0.22817,1.7199,1.2405,0.0083665,0.0083665,0.0083665
35,1591.97,0.65479,2.66305,0.18983,0.59518,0.96362,0.87968,0.53837,0.69101,0.51918,0.55473,0.30601,0.28628,0.16986,1.05199,5.17226,0.29063,1.52913,1.2509,0.008317,0.008317,0.008317
36,1638.26,0.64829,2.62333,0.18948,0.59066,0.95816,0.8874,0.51235,0.67408,0.51264,0.58592,0.29444,0.29942,0.1779,0.98799,5.05634,0.25986,1.67429,1.20207,0.0082675,0.0082675,0.0082675
37,1683.64,0.6629,2.67751,0.19225,0.60605,0.96351,0.88814,0.54755,0.69397,0.51856,0.60518,0.3191,0.3075,0.17877,1.04158,5.02234,0.27975,1.57345,1.25057,0.008218,0.008218,0.008218
38,1729.15,0.65572,2.66958,0.18754,0.58975,0.95983,0.81663,0.57136,0.65935,0.49983,0.5131,0.31994,0.2767,0.16322,1.06172,5.11269,0.29021,1.63767,1.27281,0.0081685,0.0081685,0.0081685
