epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2586.22,0.8022,3.34153,0.17364,2.63119,1.12736,0.73063,0.37929,0.40977,0.3141,0.50476,0.21833,0.20941,0.11953,1.07861,5.51355,0.06475,4.57042,1.37518,0.00118378,0.00118378,0.00118378
28,2677.16,0.7799,3.26846,0.1679,2.55097,1.11479,0.7416,0.34491,0.39133,0.29013,0.62968,0.21354,0.2042,0.11619,1.1254,5.41907,0.04958,4.94837,1.42059,0.00117435,0.00117435,0.00117435
29,2768.29,0.77409,3.23151,0.1649,2.49217,1.10745,0.81069,0.3334,0.41314,0.29882,0.58873,0.23441,0.21355,0.12104,1.12927,5.45724,0.05617,4.65448,1.43302,0.00116492,0.00116492,0.00116492
30,2861.01,0.78797,3.30097,0.1706,2.6527,1.13399,0.82345,0.32917,0.37384,0.27762,0.59239,0.20937,0.19063,0.11423,1.11784,5.45075,0.04679,5.73339,1.40653,0.00115549,0.00115549,0.00115549
31,2958.67,0.79711,3.35832,0.17305,2.63168,1.13792,0.84211,0.31858,0.38007,0.28059,0.61707,0.21823,0.21178,0.12111,1.11233,5.50128,0.05544,5.06225,1.3958,0.00114606,0.00114606,0.00114606
32,3049.15,0.77817,3.27943,0.16685,2.56915,1.11957,0.708,0.40369,0.43433,0.31541,0.6098,0.21656,0.20993,0.11978,1.10338,5.33807,0.05961,4.10066,1.39301,0.00113663,0.00113663,0.00113663
33,3138.7,0.76554,3.10671,0.15872,2.41119,1.10288,0.69923,0.39152,0.41321,0.29858,0.62837,0.21232,0.20712,0.1199,1.15561,5.56441,0.05945,4.36788,1.46582,0.0011272,0.0011272,0.0011272
34,3228.29,0.76925,3.20621,0.16162,2.48576,1.10991,0.71626,0.39937,0.43683,0.31037,0.64049,0.21823,0.21649,0.11963,1.10705,5.36724,0.06283,4.2195,1.39643,0.00111776,0.00111776,0.00111776
35,3317.47,0.77432,3.22751,0.16791,2.54688,1.1243,0.70317,0.37827,0.42755,0.32261,0.60708,0.22611,0.21099,0.12159,1.07385,5.38839,0.06086,4.50576,1.35466,0.00110833,0.00110833,0.00110833
36,3405.84,0.75925,3.16398,0.16322,2.46154,1.11558,0.79462,0.38539,0.4305,0.31824,0.51902,0.23997,0.21483,0.12088,1.0681,5.55367,0.06947,4.11713,1.40658,0.0010989,0.0010989,0.0010989
37,3495.89,0.74424,3.08799,0.16156,2.40095,1.09643,0.80473,0.39309,0.44162,0.32616,0.64832,0.22257,0.22486,0.12524,1.08397,5.46697,0.0665,4.04547,1.43052,0.00108947,0.00108947,0.00108947
38,3585.4,0.74202,3.05097,0.15932,2.35229,1.09357,0.73964,0.38596,0.42439,0.31625,0.5777,0.22704,0.21469,0.12246,1.06644,5.43707,0.05694,4.68554,1.37473,0.00108004,0.00108004,0.00108004
