epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,172.765,0.48945,2.72149,0.48141,0.45851,0.98542,0.98749,0.95,0.98549,0.94208,0.9771,0.94,0.96462,0.67201,0.31362,1.30748,0.25769,0.26834,0.82513,0.00106118,0.00106118,0.00106118
28,178.481,0.49201,2.66438,0.49375,0.45889,0.99194,0.99756,0.935,0.98406,0.93723,0.98679,0.925,0.97212,0.64089,0.32329,1.36489,0.25371,0.27908,0.82872,0.00104703,0.00104703,0.00104703
29,184.303,0.49099,2.62859,0.48864,0.43794,0.98712,0.98316,0.96,0.98595,0.94397,0.98391,0.917,0.95693,0.72095,0.32563,1.21347,0.25629,0.27589,0.82511,0.00103288,0.00103288,0.00103288
30,190.014,0.49383,2.62004,0.48909,0.44916,0.99468,0.98958,0.94951,0.98668,0.94243,0.97911,0.93726,0.96448,0.67355,0.3223,1.3289,0.27158,0.27876,0.83048,0.00101873,0.00101873,0.00101873
31,196.178,0.49477,2.63037,0.47328,0.44308,0.98837,0.97858,0.96,0.98573,0.93728,0.97362,0.945,0.96544,0.68217,0.32227,1.21817,0.26069,0.27102,0.82829,0.00100459,0.00100459,0.00100459
32,201.786,0.51469,2.75516,0.49635,0.46427,1.0163,0.99475,0.94808,0.98464,0.94512,0.9842,0.93457,0.96115,0.67421,0.30253,1.26693,0.26449,0.26119,0.82266,0.00099044,0.00099044,0.00099044
33,207.444,0.49479,2.65403,0.48866,0.44847,1.00091,0.99979,0.94,0.98376,0.94616,0.98368,0.925,0.96312,0.66608,0.30983,1.37843,0.26357,0.27091,0.82854,0.000976293,0.000976293,0.000976293
34,213.01,0.48609,2.53379,0.475,0.4454,0.99526,1,0.945,0.98587,0.94266,0.98413,0.93015,0.96636,0.7106,0.30676,1.13384,0.26997,0.26257,0.82771,0.000962146,0.000962146,0.000962146
35,218.524,0.49348,2.63927,0.46823,0.43632,0.99122,0.97353,0.96,0.98568,0.93893,0.97903,0.935,0.96864,0.64262,0.31667,1.36054,0.27328,0.27472,0.82227,0.000947999,0.000947999,0.000947999
36,224.268,0.49335,2.54855,0.46412,0.44284,0.99381,0.98969,0.95955,0.98595,0.94703,0.97412,0.94113,0.97169,0.73327,0.30458,1.13416,0.26031,0.26297,0.81644,0.000933851,0.000933851,0.000933851
37,230.474,0.48253,2.47046,0.47168,0.44641,0.99255,0.98463,0.96091,0.98629,0.94613,0.98405,0.92516,0.95781,0.72687,0.29715,1.10268,0.25949,0.26421,0.81867,0.000919704,0.000919704,0.000919704
38,236.135,0.48788,2.54177,0.47177,0.44709,0.99686,0.98722,0.95,0.9863,0.93457,0.9662,0.93,0.95613,0.65929,0.33215,1.20624,0.25139,0.27101,0.82758,0.000905557,0.000905557,0.000905557
39,241.804,0.46297,2.43008,0.46237,0.42419,0.97772,0.98217,0.96,0.9855,0.9471,0.99467,0.93372,0.9738,0.70144,0.30811,1.14798,0.2486,0.26856,0.81924,0.00089141,0.00089141,0.00089141
40,247.536,0.47133,2.45368,0.46719,0.42323,0.98192,0.98283,0.96,0.98109,0.94633,0.98947,0.94,0.97221,0.71747,0.30729,1.16039,0.24583,0.26658,0.8177,0.000877263,0.000877263,0.000877263
41,253.313,0.47663,2.44412,0.4625,0.42768,0.98322,0.99479,0.9544,0.9845,0.94527,0.97395,0.93456,0.96275,0.72301,0.31169,1.1339,0.25174,0.26677,0.81572,0.000863116,0.000863116,0.000863116
42,258.802,0.48819,2.46811,0.46209,0.43454,0.99363,0.97968,0.96409,0.98437,0.94282,0.97458,0.95837,0.97564,0.67016,0.3163,1.14934,0.24938,0.26254,0.82217,0.000848969,0.000848969,0.000848969
43,264.663,0.46623,2.52809,0.45858,0.43131,0.98511,0.98954,0.94619,0.9857,0.94941,0.98936,0.93011,0.96631,0.7387,0.3013,1.09002,0.26148,0.25118,0.81735,0.000834822,0.000834822,0.000834822
44,270.325,0.46444,2.48201,0.45683,0.4234,0.98117,0.9781,0.97,0.98688,0.95364,0.96668,0.95,0.96686,0.74688,0.29354,1.07631,0.25871,0.24913,0.81806,0.000820675,0.000820675,0.000820675
45,276.68,0.47889,2.40348,0.44979,0.42872,0.9906,0.99473,0.94417,0.98601,0.95033,0.99472,0.94229,0.97792,0.74965,0.28639,1.05917,0.2496,0.25806,0.81822,0.000806528,0.000806528,0.000806528
46,282.208,0.4499,2.27164,0.45274,0.41749,0.97211,0.98939,0.96,0.98595,0.95612,0.98424,0.955,0.97788,0.75402,0.28803,1.01174,0.25573,0.25314,0.81429,0.00079238,0.00079238,0.00079238
47,288.004,0.45117,2.22717,0.43957,0.41043,0.96829,0.98461,0.95982,0.98685,0.95264,0.9925,0.93,0.97624,0.7512,0.29463,1.00306,0.24618,0.25344,0.81943,0.000778233,0.000778233,0.000778233
48,294.036,0.47628,2.35965,0.44627,0.43491,0.98306,0.9846,0.95916,0.98642,0.95368,0.97947,0.95416,0.98424,0.75087,0.2912,1.01516,0.25256,0.25085,0.81264,0.000764086,0.000764086,0.000764086
49,299.465,0.4593,2.28152,0.43743,0.41104,0.97141,1,0.93954,0.98503,0.95433,0.98936,0.92954,0.96718,0.74802,0.29793,1.08918,0.23472,0.25002,0.81376,0.000749939,0.000749939,0.000749939
50,305.134,0.45371,2.29617,0.43522,0.41382,0.97166,0.97948,0.95466,0.98396,0.9405,0.96847,0.92145,0.95367,0.75218,0.30537,1.0587,0.23992,0.26783,0.82067,0.000735792,0.000735792,0.000735792
51,310.933,0.46294,2.17566,0.42332,0.41012,0.97341,0.99397,0.945,0.98527,0.95422,0.98871,0.94,0.98371,0.75803,0.28649,0.99487,0.23227,0.24989,0.81563,0.000721645,0.000721645,0.000721645
52,316.878,0.4437,2.15327,0.42631,0.40576,0.96133,0.98965,0.95634,0.98653,0.95805,0.98448,0.95134,0.985,0.76239,0.28947,1.00111,0.23396,0.24764,0.81041,0.000707498,0.000707498,0.000707498
53,322.348,0.44222,2.19362,0.41987,0.40878,0.96876,0.99481,0.95835,0.98666,0.95113,0.98962,0.95335,0.98507,0.77458,0.30762,0.99341,0.22485,0.25144,0.81876,0.000693351,0.000693351,0.000693351
54,328.005,0.44042,2.17251,0.42492,0.39297,0.96027,0.98966,0.95726,0.98615,0.95751,0.97932,0.94726,0.96864,0.7663,0.27535,0.99968,0.22188,0.23864,0.80722,0.000679204,0.000679204,0.000679204
55,333.602,0.44306,2.2141,0.42648,0.40364,0.96854,0.99926,0.945,0.98583,0.95497,0.99397,0.94,0.97744,0.78148,0.29063,0.99745,0.23142,0.24928,0.81018,0.000665057,0.000665057,0.000665057
56,339.322,0.44262,2.08346,0.42147,0.40294,0.97231,1,0.95475,0.98621,0.95679,0.99476,0.94975,0.98468,0.78344,0.27416,0.94386,0.22935,0.23608,0.80501,0.000650909,0.000650909,0.000650909
57,344.847,0.42294,2.05979,0.4093,0.38736,0.95253,0.98777,0.95,0.98515,0.95316,0.99469,0.93748,0.98307,0.77796,0.27762,0.91348,0.22127,0.24597,0.81067,0.000636762,0.000636762,0.000636762
58,350.582,0.42594,2.01007,0.41195,0.38046,0.9528,1,0.94928,0.98639,0.95517,0.99471,0.94053,0.98473,0.76962,0.27794,0.94021,0.21989,0.24034,0.80882,0.000622615,0.000622615,0.000622615
59,356.508,0.43365,2.11685,0.4167,0.39694,0.95708,0.99274,0.95,0.98538,0.95622,0.98779,0.945,0.97496,0.78682,0.28705,0.93327,0.21837,0.24666,0.81296,0.000608468,0.000608468,0.000608468
60,362.944,0.42617,2.02762,0.40974,0.38635,0.96148,0.99037,0.945,0.98412,0.94841,0.98513,0.94,0.98191,0.78129,0.28527,0.91474,0.21805,0.25699,0.81068,0.000594321,0.000594321,0.000594321
61,368.627,0.4269,2.01485,0.39789,0.38567,0.9506,0.99722,0.945,0.98602,0.95856,0.99184,0.94,0.98393,0.77366,0.27494,0.91133,0.21753,0.24651,0.8082,0.000580174,0.000580174,0.000580174
62,374.392,0.44293,2.08715,0.40885,0.40346,0.97818,0.99217,0.945,0.98611,0.95846,0.98945,0.93761,0.98333,0.77419,0.26254,0.93232,0.21117,0.24133,0.79999,0.000566027,0.000566027,0.000566027
63,380.188,0.41407,1.94988,0.40162,0.37838,0.94729,0.98118,0.96,0.98625,0.9573,0.97607,0.955,0.98414,0.77492,0.2711,0.9098,0.20922,0.23888,0.80518,0.00055188,0.00055188,0.00055188
64,385.811,0.43625,2.1281,0.41156,0.40147,0.97679,0.98775,0.955,0.98626,0.9573,0.97726,0.945,0.97784,0.77633,0.28572,0.91295,0.21718,0.24953,0.80928,0.000537733,0.000537733,0.000537733
65,391.551,0.41781,1.9966,0.39987,0.39206,0.95755,0.99481,0.95791,0.98655,0.9617,0.99217,0.935,0.97112,0.78126,0.26106,0.92161,0.20956,0.25002,0.80167,0.000523586,0.000523586,0.000523586
66,397.373,0.42011,1.9613,0.39322,0.39019,0.95483,0.98476,0.96929,0.98415,0.9564,0.97447,0.94,0.96711,0.77822,0.27037,0.92556,0.20871,0.25123,0.80706,0.000509438,0.000509438,0.000509438
67,403.635,0.43578,1.99928,0.39752,0.39181,0.9678,0.98421,0.965,0.98724,0.95908,0.97911,0.96,0.97915,0.79697,0.27249,0.87401,0.21262,0.22912,0.80533,0.000495291,0.000495291,0.000495291
68,409.828,0.435,1.99924,0.39336,0.39167,0.96604,0.98712,0.955,0.98713,0.95882,0.98195,0.95,0.98458,0.80182,0.26663,0.85226,0.21081,0.22951,0.8045,0.000481144,0.000481144,0.000481144
69,415.276,0.42234,1.94987,0.39671,0.38458,0.96356,0.97808,0.965,0.98735,0.95834,0.97301,0.96,0.98504,0.77528,0.26475,0.91043,0.21134,0.22979,0.80153,0.000466997,0.000466997,0.000466997
70,420.84,0.40857,1.98068,0.39301,0.37624,0.94719,0.97586,0.965,0.987,0.95619,0.99472,0.94203,0.97882,0.78964,0.27701,0.88224,0.20594,0.24104,0.81118,0.00045285,0.00045285,0.00045285
71,426.315,0.4179,1.9419,0.39232,0.38488,0.95979,0.99421,0.96,0.98626,0.96082,0.9909,0.935,0.97581,0.80242,0.26084,0.85045,0.20383,0.23986,0.80041,0.000438703,0.000438703,0.000438703
